School,lat,long
SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.3347253730189,103.941234868202
SPRINGDALE PRIMARY SCHOOL,1.39467010299293,103.889926221247
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.34947276268396,103.884971343143
RADIN MAS PRIMARY SCHOOL,1.27495823622634,103.824188270373
SENGKANG GREEN PRIMARY SCHOOL,1.39284606680477,103.875217666486
GAN ENG SENG PRIMARY SCHOOL,1.28559516494962,103.815547410064
SEMBAWANG PRIMARY SCHOOL,1.4450737155262,103.821042374036
NORTHOAKS PRIMARY SCHOOL,1.45660782030102,103.814196981329
GEYLANG METHODIST SCHOOL (PRIMARY),1.31759126757284,103.883845744916
ANGLO-CHINESE SCHOOL (PRIMARY),1.31837054523521,103.835609732354
FAIRFIELD METHODIST SCHOOL (PRIMARY),1.30054082453424,103.785438270044
MAYFLOWER PRIMARY SCHOOL (JAN 2019 - DEC 2021),1.37614621670476,103.835805246743
EDGEFIELD PRIMARY SCHOOL,1.40009139510996,103.907847599114
GREENDALE PRIMARY SCHOOL,1.39648195114256,103.91233462071
HORIZON PRIMARY SCHOOL,1.399550034492,103.913404855665
OASIS PRIMARY SCHOOL,1.40462413200793,103.911120600638
NORTHSHORE PRIMARY SCHOOL,1.41813803336667,103.904416909742
FERNVALE PRIMARY SCHOOL,1.39030227963797,103.874445458032
FERN GREEN PRIMARY SCHOOL,1.39726966050479,103.880330305684
CANBERRA PRIMARY SCHOOL,1.45125024371543,103.815858858929
ENDEAVOUR PRIMARY SCHOOL,1.45403837499301,103.817436231731
CHUA CHU KANG PRIMARY SCHOOL,1.37775890093367,103.741832917421
CONCORD PRIMARY SCHOOL,1.38000806197242,103.736225440727
BEACON PRIMARY SCHOOL,1.38394936211823,103.773632022975
BUKIT PANJANG PRIMARY SCHOOL,1.37362179302436,103.769374904025
GREENRIDGE PRIMARY SCHOOL,1.3858892193692,103.767794469258
KEMING PRIMARY SCHOOL,1.34552849960874,103.756449399351
BOON LAY GARDEN PRIMARY SCHOOL,1.34317853793318,103.713280889452
ANG MO KIO PRIMARY SCHOOL,1.36932176584608,103.839630858752
ANDERSON PRIMARY SCHOOL,1.38426429436736,103.841392081119
RIVERVALE PRIMARY SCHOOL,1.39340997767762,103.904559511997
NAN CHIAU PRIMARY SCHOOL,1.39221149906592,103.891180928186
ANCHOR GREEN PRIMARY SCHOOL,1.39036998654612,103.887165375933
PUNGGOL PRIMARY SCHOOL,1.37779451191095,103.894506933668
HOLY INNOCENTS' PRIMARY SCHOOL,1.36693830877349,103.894114899795
DAMAI PRIMARY SCHOOL,1.33546106800406,103.921270169613
FENGSHAN PRIMARY SCHOOL,1.32980598760785,103.931710293058
EUNOS PRIMARY SCHOOL,1.32447629876368,103.904541254016
CANOSSA CATHOLIC PRIMARY SCHOOL,1.32664424544839,103.882227964852
CEDAR PRIMARY SCHOOL,1.3355885014312,103.87562104944
BENDEMEER PRIMARY SCHOOL,1.32181250780475,103.865404167629
RAFFLES GIRLS' PRIMARY SCHOOL,1.3294042600012,103.806442915912
HENRY PARK PRIMARY SCHOOL,1.31667646178347,103.784296227747
NANYANG PRIMARY SCHOOL,1.32111548993736,103.806468059795
NANYANG PRIMARY SCHOOL,1.32084749904532,103.807750155296
FARRER PARK PRIMARY SCHOOL,1.31236867681371,103.850766402965
ALEXANDRA PRIMARY SCHOOL,1.29133439161334,103.824424680531
QUEENSTOWN PRIMARY SCHOOL,1.29559365009015,103.807548617332
CLEMENTI PRIMARY SCHOOL,1.31506321827875,103.763144493687
NAN HUA PRIMARY SCHOOL,1.31920159956387,103.761095065761
CANTONMENT PRIMARY SCHOOL,1.27547252623201,103.839962631748
LEARNING STUDIO BY ZENITANT (ZHONGHUA PRIMARY SCHOOL),1.36026072476019,103.869712517383
SHG STUDENT CARE (YUMIN PRIMARY SCHOOL),1.35131569890862,103.950551091373
YMCA STUDENT CARE CENTRE @ OASIS PRIMARY SCHOOL,1.4044595121197,103.910896590133
COMMIT LEARNING SCHOOLHOUSE @ PEIYING PRIMARY SCHOOL,1.41741627551251,103.830143209875
TRI-LOVE STUDENT CARE @ NORTH VIEW PRIMARY SCHOOL,1.42752326549687,103.848254983853
WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL,1.42695886300879,103.844209671353
AVONDALE GRAMMAR SCHOOL (PRIMARY & MIDDLE YEARS CAMPUS),1.29723259722684,103.814930809739
SHG STUDENT CARE (XINGNAN PRIMARY SCHOOL),1.34270639669225,103.687588478681
POWERLIFE STUDENT SERVICES @ QIHUA PRIMARY SCHOOL,1.44203596557592,103.788339762066
COMMIT LEARNING SCHOOLHOUSE @ WOODLANDS PRIMARY SCHOOL,1.43658270720199,103.791791282236
SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),1.4401104867196,103.804515180606
COMMIT LEARNING SCHOOLHOUSE @ WOODGROVE PRIMARY SCHOOL,1.43273620725049,103.79023031392
MERCU STUDENT CARE CENTRE @ RIVERSIDE PRIMARY SCHOOL,1.44700426493785,103.801889031334
THE LEARNING HARBOUR @ ADMIRALTY PRIMARY SCHOOL,1.44254963931583,103.800213682734
SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL),1.43063975763573,103.778175192579
SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL),1.38388660469396,103.753924558586
LEARNING LEAP PTE LTD (WHITE SANDS PRIMARY SCHOOL),1.36563610941695,103.960861814678
WHEE!CANOPUS STUDENT CARE @ NORTHOAKS PRIMARY SCHOOL,1.45662379586093,103.813688476692
WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL,1.33837569571569,103.718096899655
WHEE!CANOPUS STUDENT CARE @ JUNYUAN PRIMARY SCHOOL,1.34787050871599,103.939327626661
WHEE!CANOPUS STUDENT CARE @ EDGEFIELD PRIMARY SCHOOL,1.40029783011552,103.907430523653
BIG HEART STUDENT CARE (WEST VIEW PRIMARY SCHOOL),1.38378546546228,103.760273432258
LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL),1.3366431119298,103.699682818103
AMP-MERCU STUDENT CARE CENTRE @ QIFA PRIMARY SCHOOL,1.3132658326807,103.756629101811
BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),1.34919098857585,103.740719208011
LEARNING LEAP PTE LTD (PUNGGOL GREEN PRIMARY SCHOOL),1.40172590450528,103.898794262307
KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL),1.41158455562454,103.89890448429
AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL,1.29418347842837,103.836018941571
LEARNING LEAP PTE LTD (PEI TONG PRIMARY SCHOOL),1.31666529308968,103.767438999533
AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,1.3377498622588,103.766855344779
THE JAPANESE PRIMARY SCHOOL,1.3002726804131,103.769354697383
AFTERSCHOOL @ TANJONG KATONG PRIMARY SCHOOL,1.30498489044822,103.899999965407
SHG STUDENT CARE (BLANGAH RISE PRIMARY SCHOOL),1.27614522920998,103.80861316604
COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL,1.35711606790292,103.949144797277
LEARNING LEAP PTE LTD [ANGSANA PRIMARY SCHOOL],1.34846568919477,103.951577056231
BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1.35061130568554,103.951317297552
AMP-MERCU STUDENT CARE CENTRE @ TAMPINES PRIMARY SCHOOL,1.3504863946694,103.943573098509
BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL),1.36048786025607,103.948768900518
LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL,1.33997334692002,103.952273949753
SHG STUDENT CARE (MAYFLOWER PRIMARY SCHOOL),1.37639873282244,103.843165756947
BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL),1.38026516111464,103.736554295636
AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,1.33659726465816,103.736089481883
BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL),1.33566084356265,103.87562006259
BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL),1.34284013791617,103.712858381937
SHG STUDENT CARE (BENDEMEER PRIMARY SCHOOL),1.32220848530291,103.865351336085
KNOWLEDGE PARK EDUCARE PTE LTE (OPERA ESTATE PRIMARY SCHOOL),1.31996876377748,103.923752668632
AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL,1.37505696315817,103.945289416873
COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),1.35438878373608,103.844210670766
SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),1.32080725235992,103.827744749548
COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),1.30100441916733,103.785455606827
KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL),1.34506349843091,103.75592322797
AFTERSCHOOL @ PUNGGOL PRIMARY SCHOOL,1.37820062547641,103.894667159512
